Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Androgen and estrogen biosynthesis and metabolism;71;2;2;0,401570;0,3502300;1,000000;0,00235150;19;0,19;1,0000000;1,000000;0,03997550;P13;EC00077;PFOSTemp;Female;4,980451726971636
Glutamate metabolism;24;3;1;0,401570;0,3502300;1,000000;0,00235150;25;0,25;1,0000000;1,000000;0,03997550;P14;EC0008;PFOSTemp;Female;2,490225863485818
Histidine metabolism;32;3;1;0,401570;0,3502300;1,000000;0,00235150;13;0,13;1,0000000;1,000000;0,03997550;P15;EC00030;PFOSTemp;Female;2,490225863485818
Methionine and cysteine metabolism;73;4;1;0,401570;0,3502300;1,000000;0,00235150;19;0,19;1,0000000;1,000000;0,03997550;P16;EC0008;PFOSTemp;Female;2,490225863485818
Fatty Acid Metabolism;35;3;1;0,535430;0,4386000;1,000000;0,00356400;30;0,30;1,0000000;1,000000;0,04276800;P17;EC00017;PFOSTemp;Female;1,867657770390154
Phosphatidylinositol phosphate metabolism;48;4;1;0,535430;0,4386000;1,000000;0,00356400;28;0,28;1,0000000;1,000000;0,04276800;P18;EC00017;PFOSTemp;Female;1,867657770390154
Squalene and cholesterol biosynthesis;53;9;1;0,535430;0,4386000;1,000000;0,00356400;19;0,19;1,0000000;1,000000;0,04276800;P19;EC0008;PFOSTemp;Female;1,867657770390154
Urea cycle/amino group metabolism;52;4;1;0,535430;0,4386000;1,000000;0,00356400;28;0,28;1,0000000;1,000000;0,04276800;P20;EC0004;PFOSTemp;Female;1,867657770390154
Arginine and Proline Metabolism;48;7;1;0,669290;0,5155700;1,000000;0,00518100;37;0,37;1,0000000;1,000000;0,04276800;P21;EC0004;PFOSTemp;Female;1,494120635300094
Carnitine shuttle;62;3;1;0,669290;0,5155700;1,000000;0,00518100;42;0,42;1,0000000;1,000000;0,04276800;P22;EC00058;PFOSTemp;Female;1,494120635300094
C21-steroid hormone biosynthesis and metabolism;77;14;4;0,937010;0,6406900;1,000000;0,00984280;44;0,44;1,0000000;1,000000;0,05905680;P23;EC00048;PFOSTemp;Female;4,268897877290531
Fatty acid activation;78;9;3;3,212600;0,6599700;0,848900;0,01091900;67;0,67;1,0000000;1,000000;0,05905680;P24;"EC00017;EC00092;EC000112";PFOSTemp;Female;0,933823071655357
De novo fatty acid biosynthesis;73;7;2;2,409400;0,7328900;0,925210;0,01644700;74;0,74;1,0000000;1,000000;0,06578800;P25;"EC00017;EC00092";PFOSTemp;Female;0,830082178135635
Glycosphingolipid metabolism;56;9;1;1,472400;0,8055300;1,000000;0,02567700;65;0,65;1,0000000;1,000000;0,07703100;P26;EC00017;PFOSTemp;Female;0,679163270850312
Arachidonic acid metabolism;73;17;11;2,141700;0,9126100;1,000000;0,05708100;83;0,83;1,0000000;1,000000;0,11416200;P27;EC00071;PFOSTemp;Female;5,136106831022085
